Nome,CPF,Tipo de Contrato,Status,Valor,Data
Dr. Pedro Correia,594.237.860-65,CLT,Ativo,14960.23,2022-11-29
Vitor Gabriel Barbosa,165.783.209-03,PJ,Ativo,3220.99,2023-07-19
Luigi Pires,918.756.234-00,CLT,Inadimplente,14943.02,2024-01-28
Milena da Costa,709.682.154-67,CLT,Inadimplente,8727.48,2024-04-09
Fernanda Costela,146.530.987-00,CLT,Ativo,4763.44,2025-04-06
Clarice da Cruz,576.148.923-64,CLT,Inadimplente,4377.33,2024-09-22
Clara Oliveira,824.135.796-64,Estágio,Ativo,9259.58,2024-05-29
Ana Carolina da Cunha,450.239.617-61,Freelancer,Ativo,15296.74,2025-06-01
João Pedro Silva,473.590.826-92,PJ,Inadimplente,8740.98,2024-11-29
Vicente da Cruz,210.978.346-03,Freelancer,Ativo,4698.62,2022-08-26
Levi Fernandes,147.639.825-91,Freelancer,Ativo,2308.54,2024-06-08
Sr. Eduardo Costa,059.834.216-89,CLT,Cancelado,17026.14,2023-09-14
Maria Cecília Rocha,263.508.791-12,Freelancer,Ativo,14729.77,2023-07-03
Clara Fogaça,820.651.739-12,CLT,Cancelado,2036.6,2023-03-05
Ana Clara da Rosa,903.147.658-75,Freelancer,Inadimplente,12561.14,2022-08-13
Lorena Rodrigues,230.169.784-31,Freelancer,Inadimplente,4249.63,2023-12-31
Dra. Maria Luiza Dias,263.914.578-91,CLT,Ativo,13394.63,2023-10-24
Luiz Henrique Jesus,126.450.893-05,Freelancer,Ativo,17178.7,2025-02-26
Gabriel Porto,021.785.934-88,CLT,Cancelado,5920.49,2024-10-11
Dr. Lorenzo Silveira,536.748.109-48,Freelancer,Ativo,7718.53,2022-09-28
Enzo Gabriel Freitas,589.620.471-01,PJ,Inadimplente,5706.07,2022-11-30
Marcela Lopes,460.982.713-13,CLT,Inadimplente,12882.08,2025-01-09
Srta. Isabella Rezende,509.361.,PJ,Ativo,9514.07,2023-09-17
Vitor Hugo Rezende,784.056.193-48,Freelancer,Inadimplente,13919.16,2023-08-17
Sra. Beatriz da Paz,526.374.901-52,PJ,Inadimplente,6823.51,2023-09-28
Sr. Yago Porto,057.196.324-25,CLT,Ativo,16525.15,2023-01-20
Maria Clara Costa,672.190.348-22,Freelancer,Cancelado,5720.95,2024-08-31
Lorena Gonçalves,845.023.719-04,PJ,Inadimplente,17589.17,2022-08-05
Kaique Cardoso,869.437.501-00,Freelancer,Ativo,13281.05,2023-07-03
Caroline Silveira,567.839.204-29,Estágio,Inadimplente,9447.61,2024-03-30
Sr. Luiz Otávio da Luz,293.708.146-04,Freelancer,Ativo,5309.24,2022-08-16
Bruno da Conceição,685.421.039-98,Freelancer,Inadimplente,11899.43,2024-11-23
Isaac Jesus,672.304.589-00,Estágio,Cancelado,4776.75,2023-06-03
Sra. Ana Clara Ramos,230.187.596-21,PJ,Inadimplente,10123.56,2022-08-08
Rafaela da Mata,182.465.730-71,CLT,Ativo,3480.41,2023-10-21
Letícia Alves,109.473.856-57,PJ,Inadimplente,8732.12,2023-06-15
Calebe Ramos,736.912.540-80,CLT,Cancelado,7941.58,2025-01-18
Pedro Fogaça,439.685.170-75,Estágio,Inadimplente,5402.58,2024-05-15
Camila Fernandes,431.729.608-03,CLT,Inadimplente,14554.08,2024-09-29
Igor Cavalcanti,586.104.237-35,Freelancer,Inadimplente,7133.42,2025-01-25
Lorena Campos,013.985.267-03,Freelancer,Cancelado,3584.08,2023-05-08
Ana Julia Teixeira,250.648.713-17,CLT,Inadimplente,17579.13,2023-04-10
Arthur Moraes,985.620.173-02,Freelancer,Inadimplente,15358.26,2025-04-24
Raul da Cruz,349.251.087-60,CLT,Inadimplente,6319.67,2024-04-09
Sr. Gustavo Henrique Souza,174.083.259-05,PJ,Ativo,7791.32,2023-11-10
Ana Júlia da Conceição,163.507.942-06,PJ,Inadimplente,19093.25,2024-07-10
Alexia Viana,247.861.039-69,CLT,Inadimplente,6821.04,2022-06-29
Daniel Nogueira,830.916.724-50,CLT,Ativo,18617.42,2023-08-02
Cecília Oliveira,284.513.097-04,Freelancer,Ativo,1629.54,2022-12-01
Enrico Novaes,398.076.415-00,CLT,Ativo,14772.2,2022-11-29
Sra. Larissa da Rosa,240.176.583-26,CLT,Inadimplente,15433.77,2024-09-01
Juan Porto,184.760.593-10,PJ,Inadimplente,9768.01,2024-07-08
Giovanna Campos,218.790.346-03,PJ,Cancelado,10789.64,2024-07-24
Maria Fernanda Silva,605.798.243-65,Estágio,Ativo,18613.81,2024-07-07
Vitor Hugo Nunes,148.379.502-05,PJ,Inadimplente,6578.47,2022-08-29
Clarice Farias,721.084.536-44,Freelancer,Cancelado,18042.47,2023-03-13
Vitor Hugo Campos,436.712.908-03,Estágio,Ativo,5334.16,2024-05-27
Sra. Bárbara Sales,327.501.986-40,CLT,Cancelado,910.17,2024-10-21
Levi Cardoso,134.528.679-19,PJ,Inadimplente,4794.24,2025-04-06
Marcela Cavalcanti,975.601.382-68,CLT,Inadimplente,12806.51,2022-08-01
Alícia Barros,375.160.298-40,PJ,Ativo,18155.69,2024-11-17
Lucas Gabriel Rodrigues,738.620.415-90,Freelancer,Ativo,10526.04,2023-11-18
Calebe Barros,053.172.948-60,Freelancer,Inadimplente,9965.58,2024-07-16
Otávio Ferreira,621.405.973-70,PJ,Inadimplente,18742.53,2023-05-04
Juan da Paz,830.476.912-31,Estágio,Ativo,15800.08,2024-11-16
Yago Caldeira,295.417.038-79,Estágio,Ativo,2339.35,2022-09-01
Nina Melo,734.291.605-61,Estágio,Cancelado,8759.78,2023-09-06
Pedro Henrique Aragão,682.037.519-03,Estágio,Inadimplente,1556.34,2023-09-21
Brenda da Luz,987.465.012-58,CLT,Ativo,8351.12,2025-06-01
Sra. Evelyn Jesus,398.275.064-47,Freelancer,Ativo,5348.8,2023-10-17
Bárbara da Mota,328.549.670-38,PJ,Inadimplente,9247.96,2024-05-05
Marina Campos,982.615.743-00,Estágio,Ativo,5931.63,2025-02-24
João Felipe da Cruz,827.130.549-23,PJ,Ativo,9141.05,2023-12-29
Enzo Aragão,051.897.624-67,CLT,Ativo,13216.83,2024-04-26
Kamilly Rocha,139.726.450-07,CLT,Ativo,18564.16,2025-01-14
Renan da Costa,483.917.562-46,PJ,Ativo,8425.07,2025-05-25
Luiz Otávio Vieira,136.425.907-99,Estágio,Ativo,17360.68,2024-10-08
Raul Sales,751.293.804-79,CLT,Ativo,7889.98,2023-09-07
Julia Monteiro,912.584.673-64,Estágio,Cancelado,18567.1,2023-01-31
Helena Santos,965.813.702-40,Estágio,Cancelado,8748.65,2023-12-05
Emilly Almeida,360.729.458-56,Estágio,Ativo,4203.01,2025-06-01
Henrique Rodrigues,927.460.583-83,PJ,Ativo,11794.02,2023-10-14
Luiz Gustavo Costela,309.865.714-66,CLT,Inadimplente,6615.29,2024-03-07
Thales Moreira,839.570.64,CLT,Inadimplente,9797.38,2024-06-27
Sra. Bianca Cardoso,957.104,PJ,Ativo,19235.19,2022-07-31
Julia Pereira,261.490.357-43,CLT,Ativo,1836.17,2023-10-08
Noah Pereira,420.165.397-80,CLT,Inadimplente,17305.47,2024-08-13
Srta. Laís Almeida,189.436.527-55,Estágio,Ativo,18861.12,2023-07-30
Dr. Vitor Silveira,927.631.458-09,PJ,Inadimplente,12093.12,2025-01-18
Clarice Dias,213.960.758-95,CLT,Cancelado,13318.78,2023-01-26
Luiza Azevedo,302.467.918-96,Freelancer,Cancelado,4483.05,2023-02-03
Samuel Rocha,843.952.061-15,Freelancer,Ativo,5679.48,2025-03-19
Eloah Caldeira,730.489.61,PJ,Inadimplente,13087.27,2023-12-23
Caio Campos,735.620.894-65,Estágio,Cancelado,18615.86,2023-06-17
Nicole Rezende,980.134.562-42,CLT,Ativo,9436.57,2024-12-30
Vitor Oliveira,762.943.051-52,CLT,Ativo,10983.87,2024-03-12
Eduarda Silveira,962.870.431-13,Freelancer,Ativo,18698.56,2022-06-22
Sra. Olivia Pereira,192.807.536-30,CLT,Ativo,7705.78,2023-02-21
Davi Lucas Cardoso,267.958.140-76,PJ,Cancelado,16758.03,2024-02-07
Sra. Ana Sophia Duarte,569.,Freelancer,Inadimplente,19685.14,2023-07-07
Cecília da Rosa,825.169.370-59,CLT,Inadimplente,16433.53,2024-10-06
Isis das Neves,730.291.584-97,Freelancer,Inadimplente,2519.94,2023-05-23
Vicente Rodrigues,875.409.612-01,PJ,Cancelado,2750.86,2023-02-16
Helena Cardoso,728.963.051-30,CLT,Inadimplente,11287.86,2023-08-28
Isaac Lima,724.135.986-00,Freelancer,Cancelado,12294.18,2023-07-20
Maysa Cavalcanti,642.910.375-70,Freelancer,Ativo,13906.19,2024-10-30
Isadora Pires,509.628.314-33,Freelancer,Inadimplente,10026.37,2023-09-09
Clarice Barbosa,814.732.506-17,CLT,Ativo,12868.55,2023-02-21
João Vitor Farias,674.218.930-40,Freelancer,Ativo,569.14,2023-09-08
Maysa Peixoto,869.753.041-57,PJ,Inadimplente,19606.06,2023-07-19
Dra. Emanuelly Barros,964.785.310-66,PJ,Inadimplente,9115.79,2024-07-23
Diego Novaes,513.408.276-62,Estágio,Inadimplente,688.56,2022-10-15
Emanuel Moura,019.623.748-31,CLT,Inadimplente,18126.61,2023-08-01
Isabel Silva,274.930.861-50,CLT,Cancelado,11858.94,2022-11-12
Emanuelly Nunes,687.945.013-00,PJ,Cancelado,2985.19,2025-04-23
Pietra Nascimento,218.467.395-19,Freelancer,Cancelado,18030.14,2022-12-12
Diogo Vieira,795.361.402-25,CLT,Cancelado,4596.49,2024-11-07
Sra. Manuela Fogaça,819.520.736-77,PJ,Inadimplente,2504.48,2022-09-24
Nina Correia,631.908.745-57,Estágio,Inadimplente,15114.81,2024-09-22
João Vitor da Mota,946,PJ,Ativo,19536.02,2024-01-28
Gabrielly Correia,938.540.762-74,PJ,Cancelado,983.33,2022-07-07
Kevin Oliveira,640.8,Freelancer,Cancelado,16143.59,2022-12-01
Maysa das Neves,123,PJ,Cancelado,3604.36,2022-11-30
Davi Barbosa,032.981.657-86,CLT,Cancelado,17507.25,2025-05-19
Emanuella Moraes,073.912.845-05,Estágio,Ativo,4391.67,2022-08-06
Emanuel Costa,483.159.627-28,Estágio,Cancelado,6451.22,2024-02-23
Maitê Cavalcanti,512.786.340-53,PJ,Ativo,961.46,2024-02-29
Luana Caldeira,297.563.048-47,PJ,Cancelado,6901.11,2023-03-27
Elisa Fernandes,756.324.809-92,CLT,Cancelado,7347.35,2022-06-08
Emanuelly Cardoso,325.108.974-97,Estágio,Inadimplente,19632.42,2024-04-16
Evelyn Pinto,614.738.529-19,Freelancer,Ativo,2749.16,2022-10-05
Isaac da Luz,840.537.916-93,Freelancer,Ativo,11821.5,2023-03-08
Milena da Costa,248.153.069-15,Freelancer,Ativo,2613.85,2022-07-16
